accession,sub_row,person,title,role_class,action,verb,sentence
0001193125-20-071678,1,David Carey,Executive Vice President,other_exec,departure,retire,"On March 12, 2020, T-Mobile US, Inc., a Delaware corporation (“T-Mobile”), announced that David Carey, Executive Vice President, Corporate Services of T-Mobile will retire from his position effective April 30, 2020."
0001193125-20-093622,1,Bruno Jacobfeuerborn,Director,director,departure,Resignation,"Resignation of Director On March 26, 2020, in connection with the transactions contemplated by the Business Combination Agreement, Bruno Jacobfeuerborn submitted his resignation from his position as a director of T-Mobile, effective as of the Effective Time."
0001193125-20-093622,2,Srikant Madhav Datar,director,director,election,elect,"The three directors designated by SoftBank pursuant to the Business Combination Agreement and the Amended and Restated Stockholders’ Agreement, each of whom was appointed by the Board to fill the vacancies resulting from the resignation of the individual referred to above and the increase in the size of the Board referred to above, in each case effective from and after the Effective Time, are as follows: Marcelo Claure, Stephen Kappes and Ronald Fisher."
0001193125-20-093622,3,Stephen Kappes,director,director,election,elect,"It is anticipated that one additional director will be designated by SoftBank, and appointed by the Board, following the Closing, such that, effective from and after such time, SoftBank will have four designees on the Board, in accordance with the terms of the Amended and Restated Stockholders’ Agreement."
0001193125-20-093622,4,John J. Legere,Chief Executive Officer of T-Mobile effective as of immediately following the Closing,CEO,departure,succeed/replace,"CEO Transition As described below, the Board has named Mr. Sievert to succeed Mr. Legere as Chief Executive Officer of T-Mobile effective as of immediately following the Closing."
0001193125-20-093622,5,John J. Legere,Chief Executive Officer,CEO,appointment,to serve as,"Legere Amendment The Legere Amendment amended Mr. Legere’s employment agreement to provide that he would continue to serve as T-Mobile’s Chief Executive Officer through the earlier of (i) immediately following the Closing and (ii) April 30, 2020 (the earlier such time or date, the “Termination Date”)."
0001193125-20-093622,6,Michael Sievert,President and Chief Operating Officer,COO,appointment,to serve as,"Sievert Amendment The Sievert Amendment amended Mr. Sievert’s employment agreement to provide that he would continue to serve as T-Mobile’s President and Chief Operating Officer through the earlier of (i) immediately following the Closing and (ii) April 30, 2020 (the earlier such time or date, the “CEO Start Date”)."
0001193125-20-119230,1,John Legere,Board of Directors (the “Board,director,departure,resigning,"On April 24, 2020, John Legere notified T-Mobile US, Inc. (the “Company”) that he was resigning from the Board of Directors (the “Board”) of the Company, effective immediately, to pursue other options."
0001193125-20-119230,2,John Legere,Board,director,departure,resigning,Mr. Legere noted that he was not resigning because of any disagreement with management or the Board on any matter.
0001140361-20-014081,1,Braxton Carter,Executive Vice President and CFO,CFO,departure,retire,"On June 15, 2020, the Board of Directors (the “Board”) of T-Mobile appointed Peter Osvaldik, who currently serves as Senior Vice President, Finance and Chief Accounting Officer of T-Mobile, to Executive Vice President and Chief Financial Officer (“CFO”) of T-Mobile, effective as of July 1, 2020, replacing J. Braxton Carter, who will retire from his position as Executive Vice President and CFO of T-Mobile, effective as of July 1, 2020."
0001140361-20-014081,2,Braxton Carter,Executive Vice President and CFO,CFO,departure,succeed/replace,"On June 15, 2020, the Board of Directors (the “Board”) of T-Mobile appointed Peter Osvaldik, who currently serves as Senior Vice President, Finance and Chief Accounting Officer of T-Mobile, to Executive Vice President and Chief Financial Officer (“CFO”) of T-Mobile, effective as of July 1, 2020, replacing J. Braxton Carter, who will retire from his position as Executive Vice President and CFO of T-Mobile, effective as of July 1, 2020."
0001140361-20-014081,3,Braxton Carter,Executive Vice President CFO,CFO,departure,retirement,"To facilitate a smooth transition, Mr. Carter will provide certain consulting services to T-Mobile for a period of up to six months following his retirement."
0001140361-20-014081,4,Dara Bazzano,Board appointed Dara Bazzano as Senior Vice President,other_exec,appointment,appointed,"Also on June 15, 2020, the Board appointed Dara Bazzano as Senior Vice President and Chief Accounting Officer (“CAO”) of T-Mobile, effective as of July 20, 2020."
0001140361-20-014081,5,Braxton Carter,Executive Vice President and CFO,CFO,departure,retirement,"In addition, on June 15, 2020, the Compensation Committee (the “Committee”) of the Board approved (i) new compensation terms for Mr. Osvaldik (the “Osvaldik Compensation”) that will take effect upon his commencement as Executive Vice President and CFO, (ii) an offer of employment letter with Ms. Bazzano (the “Bazzano Offer Letter”) that will govern the terms of Ms. Bazzano’s service as Senior Vice President and CAO of T-Mobile and (iii) the terms of a consulting agreement between Mr. Carter and "
0001140361-20-014081,6,Peter Osvaldik,Executive Vice President and CFO,CFO,appointment,appointment,"Osvaldik Compensation In connection with Mr. Osvaldik’s appointment as Executive Vice President and CFO of T-Mobile, effective July 1, 2020, Mr. Osvaldik will receive an annual base salary of $750,000 and an annual short-term incentive (“STI”) award targeted at 150% of base salary."
0001140361-20-014081,7,Dara Bazzano,Senior Vice President,other_exec,appointment,will serve as,"Bazzano Offer Letter The Bazzano Offer Letter provides that Ms. Bazzano will serve as T-Mobile’s Senior Vice President and CAO, effective July 20, 2020."
0001140361-20-014081,8,Braxton Carter,Executive Vice President and CFO,CFO,departure,retires,"Carter Consulting Agreement Pursuant to the Carter Consulting Agreement, Mr. Carter will provide consulting services to T-Mobile during the period beginning on July 1, 2020, the date on which he retires as Executive Vice President and CFO of T-Mobile, and ending on September 30, 2020, with the option by T-Mobile to extend the term for an additional three months."
0001140361-20-014470,1,Ronald D. Fisher,Board as a director,director,departure,resigned,"Concurrently with the execution of the Second Amended and Restated Stockholders’ Agreement, effective June 22, 2020, Ronald D. Fisher resigned from the Board as a director."
0001193125-20-291827,1,Srini Gopalan,Director,director,departure,Resignation,"Resignation of Director On November 10, 2020, Srini Gopalan notified the Board of Directors (the “Board”) of T-Mobile US, Inc. (the “Company”) of his decision to resign from the Board and the Nominating and Corporate Governance Committee (the “Committee”) of the Board, effective November 13, 2020."
0001193125-20-291827,2,Srini Gopalan,director,director,election,elect,"Appointment of New Directors On November 12, 2020, pursuant to that certain Second Amended and Restated Stockholders’ Agreement (the “Stockholders’ Agreement”), dated as of June 22, 2020, by and among the Company, Deutsche Telekom AG (“DT”) and SoftBank Group Corp., the Board increased the size of the Board to 14 directors and appointed each of Dominique Leroy, Omar Tazi and Michael Wilkens (collectively, the “New Directors”) to the Board, effective November 13, 2020."
0001193125-20-291827,3,Dominique Leroy,director,director,election,elect,Messrs. Tazi and Wilkens have not been appointed to serve on any Board committees at this time.
0001193125-21-113210,1,Stephen Kappes,Board,director,departure,resign,"On April 6, 2021, Stephen Kappes notified the Board of Directors (the “Board”) of T-Mobile US, Inc. (the “Company”) of his decision to resign from the Board and the Nominating and Corporate Governance Committee of the Board, effective immediately."
0001193125-21-198692,1,,director,director,election,elect,"On June 22, 2021, Letitia Long was appointed to the Board of Directors (the “Board”) of T-Mobile US, Inc. (the “Company”), effective immediately."
0001193125-21-275230,1,David A. Miller,"Executive Vice President, General Counsel and Secretary",other_exec,departure,retire,"On September 10, 2021, David A. Miller, Executive Vice President, General Counsel and Secretary of T-Mobile US, Inc. (the “Company”) notified the Company that he will retire from the Company effective April 1, 2022."
0001193125-21-275230,2,David A. Miller,Executive Vice President General Counsel Secretary,other_exec,departure,retirement,"Mr. Miller will transition out of his current position as the Company’s Executive Vice President, General Counsel and Secretary effective October 11, 2021, but remain with the Company as Executive Vice President and Strategic Advisor until his retirement date."
0001193125-22-115091,1,Michael Wilkens,Board of Directors (the “Board,director,departure,not to stand for re-election,"On April 20, 2022, Michael Wilkens notified T-Mobile US, Inc. (the “Company”) of his decision not to stand for re-election to the Board of Directors (the “Board”) of the Company at the 2022 Annual Meeting of Stockholders (the “Annual Meeting”), in connection with his announced departure from Deutsche Telekom AG."
0001193125-22-115091,2,Michael Wilkens,Board,director,departure,departure,"Mr. Wilkens’ departure from the Board and its Compensation Committee will be effective immediately after the conclusion of the Annual Meeting, at which time the size of the Board will be reduced to 13 directors."
0001193125-22-239983,1,Srinivasan Gopalan,director,director,election,elect,"On August 31, 2022, Srinivasan Gopalan was appointed to the Board of Directors (the “Board”) of T-Mobile US, Inc. (the “Company”), effective immediately."
